questao,item,disciplina,status,rotulo,melhor_score,melhor_arquivo,secao,query,item_texto
35,1,Língua Inglesa,anotada,Anotada,0.4679,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",The Rhetorical Function of Dense Literary Prose,"it can be correctly inferred from the text that there tends to be presently more female diplomats as well as diplomats with more diverse social backgrounds than in 1966
correctly inferred from text that there tends presently more female contexto língua inglesa diplomacy never
**Contexto:** LÍNGUA INGLESA Text I Diplomacy has never enjoyed a wholly favourable 1 reputation. Often confused with its clandestine cousin, espionage, it has for centuries been associated with deviousness and duplicity. Only the other day, when I was giving","It can be correctly inferred from the text that there tends to be presently more female diplomats, as well as diplomats with more diverse social backgrounds, than in 1966."
35,2,Língua Inglesa,anotada,Anotada,0.4990,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",The Rhetorical Function of Dense Literary Prose,"it can be correctly concluded from the text that the recruitment methods adopted in the past have fuelled suspicion against diplomats and created a fallacious idea about their work
correctly concluded from text that recruitment methods adopted past have contexto língua inglesa diplomacy never
**Contexto:** LÍNGUA INGLESA Text I Diplomacy has never enjoyed a wholly favourable 1 reputation. Often confused with its clandestine cousin, espionage, it has for centuries been associated with deviousness and duplicity. Only the other day, when I was giving",It can be correctly concluded from the text that the recruitment methods adopted in the past have fuelled suspicion against diplomats and created a fallacious idea about their work.
35,3,Língua Inglesa,anotada,Anotada,0.4643,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",The Rhetorical Function of Dense Literary Prose,"for the author the bad reputation diplomacy holds has to do with the frequent international negotiations in which diplomats deal with foreign officials
author reputation diplomacy holds with frequent international negotiations which diplomats contexto língua inglesa text never
**Contexto:** LÍNGUA INGLESA Text I Diplomacy has never enjoyed a wholly favourable 1 reputation. Often confused with its clandestine cousin, espionage, it has for centuries been associated with deviousness and duplicity. Only the other day, when I was giving","For the author, the bad reputation diplomacy holds has to do with the frequent international negotiations in which diplomats deal with foreign officials."
35,4,Língua Inglesa,anotada,Anotada,0.5372,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",The Rhetorical Function of Dense Literary Prose,"the woman mentioned in the first paragraph didn t expect the author to reveal his true opinions fimdotexto
woman mentioned first paragraph didn expect author reveal true opinions contexto língua inglesa text diplomacy never
**Contexto:** LÍNGUA INGLESA Text I Diplomacy has never enjoyed a wholly favourable 1 reputation. Often confused with its clandestine cousin, espionage, it has for centuries been associated with deviousness and duplicity. Only the other day, when I was giving",The woman mentioned in the first paragraph didn’t expect the author to reveal his true opinions. !FimDoTexto!
36,1,Língua Inglesa,candidata,Candidata,0.3478,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",Development: Comprehensive Consequences and the Imperative of Cooperation,"the words clad r 18 and quaffing r 19 could be correctly replaced by dressed and sipping without this altering the meaning of the sentence although this substitution would make the text less humorous
words clad quaffing could correctly replaced dressed sipping without this contexto fimdotexto considering grammatical semantic aspects
**Contexto:** . !FimDoTexto! Considering the grammatical and semantic aspects of text I, decide whether the following items are right (C) or wrong (E).","The words “clad” (R. 18) and “quaffing” (R.19) could be correctly replaced by dressed and sipping without this altering the meaning of the sentence, although this substitution would make the text less humorous."
36,2,Língua Inglesa,candidata,Candidata,0.3989,02 - LÍNGUA INGLESA/01 - Primeira Fase/2 - Itens gramaticais relevantes/_Itens gramaticais relevantes.md,When to Use Each Structure,"there would be no change in the meaning of the passage from often r 2 to duplicity r 4 if it were replaced by even though it is often confused with espionage which is its illegitimate cousin diplomacy has been linked with misbehaviour and duplicity for centuries
there would change meaning passage from often duplicity were replaced contexto fimdotexto considering grammatical semantic aspects
**Contexto:** . !FimDoTexto! Considering the grammatical and semantic aspects of text I, decide whether the following items are right (C) or wrong (E).","There would be no change in the meaning of the passage from “Often” (R. 2) to “duplicity” (R.4) if it were replaced by Even though it is often confused with espionage, which is its illegitimate cousin, diplomacy has been linked with misbehaviour and duplicity for centuries."
36,3,Língua Inglesa,anotada,Anotada,0.4936,02 - LÍNGUA INGLESA/01 - Primeira Fase/2 - Itens gramaticais relevantes/_Itens gramaticais relevantes.md,Reduced Relative Clause — Key Facts,"the excerpt that you get from diplomats r 7 and 8 could be correctly replaced by which one gets from diplomats without this changing the meaning of the text
excerpt that from diplomats could correctly replaced which gets without contexto fimdotexto considering grammatical semantic aspects
**Contexto:** . !FimDoTexto! Considering the grammatical and semantic aspects of text I, decide whether the following items are right (C) or wrong (E).",The excerpt “that you get from diplomats” (R. 7 and 8) could be correctly replaced by which one gets from diplomats without this changing the meaning of the text.
36,4,Língua Inglesa,anotada,Anotada,0.5503,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",Diplomatic Vocabulary (parte 2),"the recruitment policy of the british diplomatic service was designed and planned by elite academics and university intellectuals text ii when i joined the foreign office i was astonished
recruitment policy british diplomatic service designed planned elite academics university contexto fimdotexto considering grammatical semantic aspects
**Contexto:** . !FimDoTexto! Considering the grammatical and semantic aspects of text I, decide whether the following items are right (C) or wrong (E).","The recruitment policy of the British diplomatic service was designed and planned by elite academics and university intellectuals. Text II When I joined the Foreign Office, I was astonished"
37,1,Língua Inglesa,candidata,Candidata,0.3133,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",Diplomatic Vocabulary (parte 2),"after all stages of the civil and diplomatic service entrance exams the number of candidates admitted was around 20
after stages civil diplomatic service entrance exams number candidates admitted contexto lack formal preparation those days
**Contexto:** 1 at the lack of formal preparation for the job. In those days, the Civil and Diplomatic Service entrance exams took place in three stages, by the end of which hundreds of unsuccessful 4 candidates had been knocked out. Only a score or so survive","After all stages of the Civil and Diplomatic Service entrance exams, the number of candidates admitted was around 20."
37,2,Língua Inglesa,candidata,Candidata,0.3686,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",Development: Comprehensive Consequences and the Imperative of Cooperation,"with the expression and that was that r 10 and 11 the author reinforces the idea indicated by the lack of formal preparation for the job r 2
with expression that author reinforces idea indicated lack formal preparation contexto those days
**Contexto:** 1 at the lack of formal preparation for the job. In those days, the Civil and Diplomatic Service entrance exams took place in three stages, by the end of which hundreds of unsuccessful 4 candidates had been knocked out. Only a score or so survive","With the expression “And that was that” (R. 10 and 11), the author reinforces the idea indicated by “the lack of formal preparation for the job” (R.2)."
