questao,item,disciplina,status,rotulo,melhor_score,melhor_arquivo,secao,query,item_texto
1,1,Língua Portuguesa,anotada,Anotada,0.6474,"01 - LÍNGUA PORTUGUESA/02 - Leitura e produção de textos/2.3.1 - Defeitos de conteúdo (descontextualização, simplismo, etc.)/_Defeitos de conteúdo (descontextualização, simplismo, etc.).md",Exercício 1: A Crise da Democracia Liberal,"utilizando em síntese os argumentos de que a pena capital viola os direitos humanos o direito humanitário e o devido processo legal não tem efeito dissuasório pode punir pessoas inocentes tem sido utilizada como ferramenta política e é ineficaz na luta contra o tráfico de drogas a diplomata insta os estados a concluir a negociação do segundo protocolo facultativo do pacto internacional dos direitos civis e políticos destinado a abolir a pena de morte
utilizando síntese argumentos pena capital viola direitos humanos direito humanitário contexto língua portuguesa morte flagrante
**Contexto:** LÍNGUA PORTUGUESA A pena de morte é uma flagrante violação dos direitos 1 humanos e é incompatível com os princípios do tratamento humanitário e do devido processo legal. Ouve-se, por vezes, o argumento de que a pena capital tem efeito dissuasóri","Utilizando, em síntese, os argumentos de que a pena capital viola os direitos humanos, o direito humanitário e o devido processo legal; não tem efeito dissuasório; pode punir pessoas inocentes; tem sido utilizada como ferramenta política; e é ineficaz na luta contra o tráfico de drogas, a diplomata insta os Estados a concluir a negociação do Segundo Protocolo Facultativo do Pacto Internacional dos Direitos Civis e Políticos, destinado a abolir a pena de morte."
1,2,Língua Portuguesa,anotada,Anotada,0.6378,"01 - LÍNGUA PORTUGUESA/02 - Leitura e produção de textos/2.3.1 - Defeitos de conteúdo (descontextualização, simplismo, etc.)/_Defeitos de conteúdo (descontextualização, simplismo, etc.).md",B. Defeitos de Conteúdo como Fissuras Estruturais no Raciocínio,"a diplomata contesta a opinião corrente de que a pena de morte tem efeito dissuasório sobre o crime sob o argumento de que esse tipo de pena é contraproducente por gerar mais violência o que segundo ela pode ser comprovado pela inexistência de evidências empíricas de relação causal entre a pena de morte e a redução da criminalidade e por sua ineficácia na luta contra o tráfico de drogas
diplomata contesta opinião corrente pena morte efeito dissuasório sobre crime contexto língua portuguesa flagrante
**Contexto:** LÍNGUA PORTUGUESA A pena de morte é uma flagrante violação dos direitos 1 humanos e é incompatível com os princípios do tratamento humanitário e do devido processo legal. Ouve-se, por vezes, o argumento de que a pena capital tem efeito dissuasóri","A diplomata contesta a opinião corrente de que a pena de morte tem efeito dissuasório sobre o crime sob o argumento de que esse tipo de pena é contraproducente, por gerar mais violência, o que, segundo ela, pode ser comprovado pela inexistência de evidências empíricas de relação causal entre a pena de morte e a redução da criminalidade e por sua ineficácia na luta contra o tráfico de drogas."
1,3,Língua Portuguesa,anotada,Anotada,0.6798,"01 - LÍNGUA PORTUGUESA/02 - Leitura e produção de textos/2.3.2 - Vícios de linguagem e estilo (coloquialismo, rebuscamento, etc.)/_Vícios de linguagem e estilo (coloquialismo, rebuscamento, etc.).md",Ruptura de Registro e Coloquialismo: A Manutenção do Tom Diplomático,"a diplomata emprega a expressão sanção discriminatória r 15 para se referir à seletividade e arbitrariedade de penas de morte aplicadas a indivíduos pobres ou pertencentes a minorias raciais étnicas ou religiosas sem estender a interpretação do conceito a práticas de genocídio
diplomata emprega expressão sanção discriminatória para referir seletividade arbitrariedade penas contexto língua portuguesa pena morte flagrante
**Contexto:** LÍNGUA PORTUGUESA A pena de morte é uma flagrante violação dos direitos 1 humanos e é incompatível com os princípios do tratamento humanitário e do devido processo legal. Ouve-se, por vezes, o argumento de que a pena capital tem efeito dissuasóri","A diplomata emprega a expressão “sanção discriminatória” (R.15) para se referir à seletividade e arbitrariedade de penas de morte aplicadas a indivíduos pobres ou pertencentes a minorias raciais, étnicas ou religiosas, sem estender a interpretação do conceito a práticas de genocídio."
1,4,Língua Portuguesa,anotada,Anotada,0.6538,"01 - LÍNGUA PORTUGUESA/02 - Leitura e produção de textos/2.3.1 - Defeitos de conteúdo (descontextualização, simplismo, etc.)/_Defeitos de conteúdo (descontextualização, simplismo, etc.).md",1. Descontextualização: O Argumento Deslocado,"ao defender a tese de que o castigo deve ser proporcional à gravidade do delito no último do terceiro a diplomata introduz novo elemento no curso da argumentação sem conexão com as ideias expressas nos dois períodos anteriores desse mesmo que tratam do tráfico de drogas espaço livre
defender tese castigo deve proporcional gravidade delito último terceiro diplomata contexto língua portuguesa pena morte flagrante
**Contexto:** LÍNGUA PORTUGUESA A pena de morte é uma flagrante violação dos direitos 1 humanos e é incompatível com os princípios do tratamento humanitário e do devido processo legal. Ouve-se, por vezes, o argumento de que a pena capital tem efeito dissuasóri","Ao defender a tese de que o castigo deve ser proporcional à gravidade do delito, no último período do terceiro parágrafo, a diplomata introduz novo elemento no curso da argumentação, sem conexão com as ideias expressas nos dois períodos anteriores desse mesmo parágrafo, que tratam do tráfico de drogas. Espaço livre"
2,1,Língua Portuguesa,anotada,Anotada,0.5972,01 - LÍNGUA PORTUGUESA/01 - Domínio da modalidade culta/1.3 - Semântica/_Semântica.md,Sinédoque,"houve mudança na posição brasileira que passou da neutralidade ou imparcialidade marcada pela abstenção indicada no ii à condenação da ação de grupos armados pelas graves violações dos direitos humanos e do direito humanitário expressa no iii
houve mudança posição brasileira passou neutralidade imparcialidade marcada pela abstenção contexto tráfico drogas espaço livre brasil
**Contexto:** tráfico de drogas. Espaço livre O Brasil se absteve na votação do projeto de 1 resolução sobre “a deterioração grave e contínua dos direitos humanos e da situação humanitária na República Árabe da Síria”. Estamos plenamente conscientes da grave s","Houve mudança na posição brasileira, que passou da neutralidade ou imparcialidade, marcada pela abstenção indicada no texto II, à condenação da ação de grupos armados pelas graves violações dos direitos humanos e do direito humanitário, expressa no texto III."
2,2,Língua Portuguesa,anotada,Anotada,0.6533,"01 - LÍNGUA PORTUGUESA/02 - Leitura e produção de textos/2.3.1 - Defeitos de conteúdo (descontextualização, simplismo, etc.)/_Defeitos de conteúdo (descontextualização, simplismo, etc.).md",Exercício 1: A Crise da Democracia Liberal,"a partir das relações estabelecidas nos textos ii e iii os seguintes elementos determinaram a mudança do voto brasileiro participação brasileira nas negociações referência à solução política e não militar para o conflito e responsabilidade de todas as partes pelo respeito aos direitos humanos inclusive da oposição
partir relações estabelecidas textos seguintes elementos determinaram mudança voto brasileiro contexto tráfico drogas espaço livre brasil
**Contexto:** tráfico de drogas. Espaço livre O Brasil se absteve na votação do projeto de 1 resolução sobre “a deterioração grave e contínua dos direitos humanos e da situação humanitária na República Árabe da Síria”. Estamos plenamente conscientes da grave s","A partir das relações estabelecidas nos textos II e III, os seguintes elementos determinaram a mudança do voto brasileiro: participação brasileira nas negociações; referência à solução política, e não militar, para o conflito; e responsabilidade de todas as partes pelo respeito aos direitos humanos, inclusive da oposição."
2,3,Língua Portuguesa,anotada,Anotada,0.6448,01 - LÍNGUA PORTUGUESA/01 - Domínio da modalidade culta/1.3 - Semântica/_Semântica.md,Ironia,"com vistas à concisão textual e para o sentido original do ii o trecho o brasil salienta que síria e arredores r 18 a 24 poderia ser reescrito da seguinte forma o brasil salienta que embora incumba ao governo sírio o dever de garantir os direitos de sua população todos os países devem evitar a escalada militar da crise responsabilizando-se pela dramática situação da população civil
vistas concisão textual para sentido original trecho brasil salienta síria contexto tráfico drogas espaço livre
**Contexto:** tráfico de drogas. Espaço livre O Brasil se absteve na votação do projeto de 1 resolução sobre “a deterioração grave e contínua dos direitos humanos e da situação humanitária na República Árabe da Síria”. Estamos plenamente conscientes da grave s","Com vistas à concisão textual e sem prejuízo para o sentido original do texto II, o trecho “O Brasil salienta que (...) Síria e arredores” (R. 18 a 24) poderia ser reescrito da seguinte forma: O Brasil salienta que, embora incumba ao governo sírio o dever de garantir os direitos de sua população, todos os países devem evitar a escalada militar da crise, responsabilizando-se pela dramática situação da população civil."
2,4,Língua Portuguesa,anotada,Anotada,0.6614,"01 - LÍNGUA PORTUGUESA/02 - Leitura e produção de textos/2.3.1 - Defeitos de conteúdo (descontextualização, simplismo, etc.)/_Defeitos de conteúdo (descontextualização, simplismo, etc.).md",**Gabarito Comentado** (parte 1),"das ideias contidas no final dos textos ii e iii que o brasil propugna por uma solução negociada do conflito sírio com as seguintes características respeito à confidencialidade das negociações respeito ao direito humanitário abstenção de atos que interfiram no conflito participação de todas as partes envolvidas nas negociações e diálogo honesto e sincero sem imposições apriorísticas de condições espaço livre
ideias contidas final textos brasil propugna solução negociada conflito sírio contexto tráfico drogas espaço livre
**Contexto:** tráfico de drogas. Espaço livre O Brasil se absteve na votação do projeto de 1 resolução sobre “a deterioração grave e contínua dos direitos humanos e da situação humanitária na República Árabe da Síria”. Estamos plenamente conscientes da grave s","Depreende-se das ideias contidas no final dos textos II e III que o Brasil propugna por uma solução negociada do conflito sírio com as seguintes características: respeito à confidencialidade das negociações, respeito ao direito humanitário, abstenção de atos que interfiram no conflito, participação de todas as partes envolvidas nas negociações e diálogo honesto e sincero, sem imposições apriorísticas de condições. Espaço livre"
3,1,Língua Portuguesa,anotada,Anotada,0.6391,"01 - LÍNGUA PORTUGUESA/02 - Leitura e produção de textos/2.3.1 - Defeitos de conteúdo (descontextualização, simplismo, etc.)/_Defeitos de conteúdo (descontextualização, simplismo, etc.).md",**Exercício 3**,"de acordo com o iv na esfera de investimentos o acordo em negociação deverá buscar medidas contra toda forma de expropriação com base em regras precisas e estáveis do estado de direito
acordo esfera investimentos negociação deverá buscar medidas contra toda forma contexto ições apriorísticas condições espaço livre
**Contexto:** ições apriorísticas de condições. Espaço livre Nossos blocos econômicos concordaram em 1 inaugurar nova etapa negociadora do acordo comercial. O acordo deverá incluir compromissos ambiciosos de redução tarifária e medidas de superação dos entrave","De acordo com o texto IV, na esfera de investimentos, o acordo em negociação deverá buscar medidas contra toda forma de expropriação, com base em regras precisas e estáveis do Estado de direito."
3,2,Língua Portuguesa,anotada,Anotada,0.6484,"01 - LÍNGUA PORTUGUESA/02 - Leitura e produção de textos/2.3.1 - Defeitos de conteúdo (descontextualização, simplismo, etc.)/_Defeitos de conteúdo (descontextualização, simplismo, etc.).md",**Exercício 3**,"o v recomenda uma resposta de sentido punitivo ao aumento brusco e excessivo de importações r 9 e 10 que resultaria em sério dano à estrutura produtiva r 10 e 11 da outra parte razão por que a substituição do salvaguarda r 9 por sanção preservaria o sentido original do
recomenda resposta sentido punitivo aumento brusco excessivo importações resultaria sério contexto ições apriorísticas condições espaço livre
**Contexto:** ições apriorísticas de condições. Espaço livre Nossos blocos econômicos concordaram em 1 inaugurar nova etapa negociadora do acordo comercial. O acordo deverá incluir compromissos ambiciosos de redução tarifária e medidas de superação dos entrave","O texto V recomenda uma resposta de sentido punitivo ao “aumento brusco e excessivo de importações” (R. 9 e 10) que resultaria em “sério dano à estrutura produtiva” (R. 10 e 11) da outra parte, razão por que a substituição do termo “salvaguarda” (R.9) por sanção preservaria o sentido original do texto."
